YEAR,city,agg_income_15plus,agg_income_15plus_race_tot,agg_household_income,agg_household_income_race_tot,agg_household_income_white,agg_family_income,agg_income_15plus_white,agg_household_income_white_nh,agg_income_15plus_white_nh,agg_nonfamily_income,agg_household_income_hisp,agg_income_15plus_hisp,agg_income_15plus_two_races,agg_gross_rent,mean_hh_income_top5pct,median_owner_home_value,mean_hh_income_q5,avg_household_income_hisp,avg_household_income_two,inc_q4_limit,inc_top5pct_lower_limit,avg_family_income,mean_hh_income_q4_alt,avg_household_income_white,avg_household_income_white_nh,avg_household_income,avg_household_income_race_tot,inc_q3_limit,median_family_income,median_hh_inc_owner,median_hh_income_white_nh,median_hh_income_white,median_hh_income,median_hh_inc_all_units,mean_hh_income_q3,median_inc_15plus_male_ftyr,inc_q2_limit,median_earnings_male,median_hh_inc_renter,median_hh_inc_past12_renters,avg_nonfamily_income,mean_hh_income_q2,median_earnings_bachelor,median_inc_15plus_male,median_nonfamily_income,median_earnings_male_somecoll,median_earnings_male_hs,median_household_income,Population_2019,HB2001_Category,treat,post,pre
2018,Eagle Point,366659600,366659600,363608600,363608600,357084000,276958300,357775100,335280700,339506600,75812700,25547500,20475900,6320100,1557300,338814,256300,196464,106006.22406639,0,118565,215220,91194.698715838,94937,83197.5768872321,81636.401266131,82469.6303016557,82469.6303016557,80405,77247,81495,60293,62934,63388,63388,63213,55117,51008,52291,39091,39091,55257.0699708455,40648,50811,47250,32833,44694,41054,63388,9554,None,0,0,1
2018,Forest Grove,1032303400,1032303400,992124800,992124800,845548600,765904700,870936600,732612500,753598800,180516900,193652400,206633100,38743100,4610600,1986920,1929300,1205715,542576.7289855529,435298.2502750377,750621,1157234,579710.6266605885,631143,550072.3431800811,544090.2235603101,542156.131423253,542156.131423253,526835,494776,565922,427588,450139,456616,456616,446766,342768,353106,286932,290389,290389,337619.198839462,290284,323662,244065,294960,347907,241068,65380.78589912726,25553,Large/Metro,1,0,1
2018,Klamath Falls,968620600,968620600,944909900,944909900,866053000,670134300,882676400,809998200,824110800,255550500,71944200,78408300,24086700,6129800,2209219,1630900,1383735,542846.5058377527,321879.4425797102,879590,1480731,704644.985785788,720168,603513.6444448287,609942.0994392276,599017.7998860191,599017.7998860191,583878,551905,620001,483390,487581,486732,486732,480588,457688,372092,372860,259279,259279,409269.4315482367,289099,447626,318841,305843,377380,368117,46273.549168112186,21753,Medium,1,0,1
2018,Newberg,1190278700,1190278700,1141817100,1141817100,1073402300,908584600,1111117700,1006013700,1037455700,205408500,90078900,99656100,34008800,4469300,1995066,2022900,1251801,357210.3510684195,346595.8294613548,821895,1136984,580298.4082913168,648496,554227.2678141389,557806.4296265761,548648.4068067956,548648.4068067956,516568,481626,495581,432774,431374,427266,427266,431267,346969,348018,287864,265364,265364,400182.83469820744,284028,334397,253857,251305,299212,164170,67086.48246743216,23886,Medium,1,0,1
2018,Newport,365656000,365656000,360658500,360658500,329141300,247175400,325720600,316070500,313426400,107088300,24042700,25765800,15462500,2082900,1268322,1157700,751758,336799.13621547434,177111.79558745347,446179,780120,361624.4239498462,369847,317795.15367055195,316168.6521201553,312157.8704721315,312157.8704721315,299188,288305,284985,239467,238722,238629,238629,236308,238209,182449,165227,183411,183411,227573.7246583032,140629,153991,150759,160793,131078,77748,49278.789093398234,10853,Medium,1,0,1
2018,North Bend,1091412400,1091412400,1037842800,1037842800,967558300,773309300,1008539200,946975400,983920400,243660200,29396000,36806400,29391000,5099800,2695851,1662100,1427695,330283.12955783773,359213.1177273044,792573,1393591,704736.1900146579,637943,584043.2455208987,588596.0421679451,573028.2874736859,573028.2874736859,522416,548259,514242,439351,440977,431293,431293,434437,443395,348002,319654,307825,307825,338953.42279156623,265219,344210,279440,261677,338121,253428,46370.93769438896,9768,None,0,0,1
2018,Ontario,276125500,276125500,272438000,272438000,252801600,193620900,255444200,187353600,192753700,69578200,79903100,78274800,8900100,1548500,648605,371700,380703,153566.1431802748,208412.4841636709,234649,373244,177039.0896583352,192068,159085.2651914872,158646.6324801526,156971.2956189714,156971.2956189714,149802,133113,166619,114373,117728,114071,114071,115785,126658,89519,101076,74332,74332,104513.17449884812,67391,114493,73336,63569,96714,91267,38099.78475657848,10994,Medium,1,0,1
2018,Prineville,561289100,561289100,558506600,558506600,536832800,428139900,539908700,516829800,521591700,111068200,25989800,25455300,7675700,2221400,903640,875100,556294,146639.8913800494,124793.64635904827,344421,644566,272926.30528198264,284956,242885.4471810172,243851.79979639064,239037.8205318043,239037.8205318043,228736,237006,223426,183397,183233,181935,181935,182472,193078,143379,133236,125629,125629,147607.1994127275,119437,167330,113284,109771,163609,134527,44810.66669651251,10734,Medium,1,0,1
2018,Roseburg,1018023600,1018023600,999645600,999645600,942584100,718361600,965079000,914435800,940040800,269249300,24231300,30158700,14979600,5263700,1633756,1300900,938753,226309.2368502839,169634.17847023188,578020,930139,483631.70715862885,462011,389768.1613931664,393193.29829773336,391169.8613169228,391169.8613169228,370493,382780,368999,302826,302091,301194,301194,298480,308292,224743,229582,215350,215350,250212.81024821737,177782,309458,182817,143265,161846,189364,49875.97189551614,23479,Medium,1,0,1
2018,Sandy,744370400,744370400,731102500,731102500,705774300,590610800,707396000,681139600,683028800,124533900,27877200,29527700,13870500,2206900,1312071,1606300,881540,220508.3180181819,142791.8181818182,615760,917421,461189.7368791643,500041,409868.5959605117,411582.1128750943,406430.6941572467,406430.6941572467,425963,409951,397127,360483,358430,351959,351959,353607,299784,283740,248959,202933,202933,240830.8513927716,213406,278123,208822,158653,275889,198376,69935.63564249522,11387,Medium,1,0,1
